Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,33,2,13.9,2.4,4.1,.581,0.0,0.0,0,2.4,4.1,.581,.581,1.3,2.4,.557,1.3,2.7,4.0,0.6,0.4,0.5,1.0,1.7,6.1
Jaylen Adams,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,0,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
Steven Adams,C,27,NOP,30,30,28.2,3.6,5.8,.618,0.0,0.0,.000,3.6,5.7,.622,.618,1.0,2.3,.456,4.2,4.9,9.1,2.3,0.9,0.6,1.6,1.9,8.2
Bam Adebayo,C,23,MIA,32,32,33.9,7.3,12.8,.567,0.1,0.2,.333,7.2,12.7,.570,.569,4.8,5.7,.847,2.3,7.5,9.7,5.5,0.9,1.1,3.0,2.5,19.5
LaMarcus Aldridge,C,35,SAS,20,18,26.5,5.8,12.3,.469,1.4,3.7,.370,4.4,8.6,.512,.524,1.5,1.8,.829,0.8,3.7,4.5,1.8,0.4,0.9,0.9,1.7,14.3
Ty-Shon Alexander,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
Nickeil Alexander-Walker,SG,22,NOP,27,3,17.4,3.0,7.3,.416,1.0,3.4,.297,2.0,3.9,.519,.485,1.0,1.2,.788,0.2,2.1,2.3,1.9,1.0,0.3,1.2,1.6,8.0
Grayson Allen,SG,25,MEM,23,12,24.0,2.9,7.1,.409,2.0,4.9,.407,0.9,2.2,.412,.549,1.5,1.7,.895,0.3,2.5,2.8,2.2,1.0,0.1,0.9,1.3,9.3
Jarrett Allen,C,22,TOT,33,15,27.8,4.9,7.4,.663,0.1,0.2,.500,4.8,7.1,.668,.671,3.6,4.9,.733,3.2,6.5,9.7,1.8,0.5,1.8,1.5,1.6,13.5
Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,0,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
Jarrett Allen,C,22,CLE,21,10,28.4,5.6,8.5,.657,0.2,0.4,.500,5.4,8.1,.665,.669,3.4,4.8,.720,3.2,6.1,9.3,1.8,0.4,1.9,1.4,1.5,14.8
Al-Farouq Aminu,PF,30,ORL,7,4,16.4,1.4,3.4,.417,0.4,1.3,.333,1.0,2.1,.467,.479,0.4,0.7,.600,0.9,3.0,3.9,1.6,1.1,0.4,1.1,0.6,3.7
Kyle Anderson,PF,27,MEM,29,29,27.7,4.9,10.3,.477,1.6,4.1,.390,3.3,6.3,.533,.553,2.1,2.8,.753,1.0,5.3,6.2,3.6,1.2,0.7,1.6,1.8,13.6
Giannis Antetokounmpo,PF,26,MIL,33,33,33.9,10.5,19.0,.555,1.2,4.0,.286,9.4,15.0,.628,.585,6.9,10.4,.663,1.9,9.9,11.8,5.9,1.2,1.4,3.7,3.0,29.2
Kostas Antetokounmpo,PF,23,LAL,3,0,6.3,0.3,1.0,.333,0.0,0.0,0,0.3,1.0,.333,.333,0.3,0.7,.500,0.7,2.0,2.7,0.0,0.3,0.7,1.7,1.0,1.0
Thanasis Antetokounmpo,SF,28,MIL,24,0,9.0,1.0,1.7,.585,0.1,0.4,.222,0.9,1.3,.688,.610,0.3,0.5,.462,1.0,1.2,2.2,0.7,0.3,0.2,0.8,1.3,2.3
Carmelo Anthony,PF,36,POR,31,3,25.2,4.6,11.6,.396,1.6,4.4,.378,2.9,7.2,.406,.467,2.3,2.7,.843,0.6,2.8,3.4,1.3,0.8,0.8,1.0,2.2,13.1
Cole Anthony,PG,20,ORL,25,17,26.7,4.0,10.8,.375,1.1,3.3,.325,3.0,7.4,.398,.426,1.8,2.2,.836,0.8,3.6,4.4,3.8,0.7,0.4,2.0,2.0,11.0
OG Anunoby,SF,23,TOR,23,23,33.4,5.0,10.3,.479,2.1,5.4,.395,2.8,5.0,.570,.582,1.7,2.3,.755,1.4,4.3,5.7,1.7,1.6,0.7,1.7,2.8,13.8
Ryan Arcidiacono,PG,26,CHI,16,0,10.9,1.1,2.7,.419,0.6,1.6,.346,0.6,1.1,.529,.523,0.4,0.4,.857,0.1,1.8,1.9,1.4,0.3,0.0,0.3,0.9,3.2
D.J. Augustin,PG,33,MIL,32,4,19.3,1.9,5.5,.349,1.3,3.6,.365,0.6,1.9,.317,.469,1.1,1.2,.895,0.3,1.0,1.3,3.1,0.6,0.0,0.9,0.8,6.2
Deni Avdija,SF,20,WAS,28,16,21.3,2.2,5.3,.419,1.0,3.0,.349,1.2,2.3,.508,.517,0.4,0.7,.579,0.4,4.1,4.5,1.4,0.7,0.2,0.8,2.6,5.9
Deandre Ayton,C,22,PHO,33,33,31.5,6.2,10.4,.601,0.1,0.5,.250,6.1,9.9,.618,.606,1.9,2.5,.747,3.5,8.2,11.6,1.7,0.3,1.1,1.8,3.2,14.5
Udoka Azubuike,C,21,UTA,12,0,4.1,0.3,0.6,.571,0.0,0.0,0,0.3,0.6,.571,.571,0.3,0.5,.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0
Dwayne Bacon,SG,25,ORL,34,21,24.3,3.9,9.3,.421,1.0,2.9,.347,2.9,6.4,.454,.475,1.5,1.8,.820,0.4,2.6,2.9,0.9,0.6,0.1,0.7,1.6,10.3
Marvin Bagley III,PF,21,SAC,32,32,25.8,5.7,11.5,.496,1.0,2.8,.375,4.7,8.7,.534,.541,1.7,3.1,.541,2.4,5.2,7.6,0.9,0.6,0.5,1.5,2.5,14.1
LaMelo Ball,PG,19,CHO,33,13,28.8,5.6,12.6,.441,1.8,5.2,.353,3.7,7.4,.504,.514,2.3,2.8,.806,1.5,4.5,6.0,6.3,1.5,0.4,2.8,2.8,15.3
Lonzo Ball,PG,23,NOP,30,30,31.7,5.2,12.2,.428,3.1,7.8,.393,2.2,4.4,.489,.553,1.0,1.3,.763,0.6,3.6,4.2,5.1,1.3,0.5,2.0,2.3,14.5
Mo Bamba,C,22,ORL,16,0,9.3,2.1,4.1,.523,0.4,1.2,.368,1.7,2.9,.587,.577,0.3,0.4,.667,1.1,2.6,3.8,0.3,0.2,0.8,0.4,1.3,4.9
Desmond Bane,SG,22,MEM,26,4,23.0,3.7,7.6,.482,1.7,3.8,.450,1.9,3.7,.515,.596,0.7,0.8,.864,0.5,2.3,2.8,1.4,0.7,0.2,1.1,2.0,9.8
Harrison Barnes,PF,28,SAC,31,31,35.6,5.5,11.2,.493,1.8,4.5,.403,3.7,6.7,.553,.573,3.8,4.6,.818,1.0,5.2,6.2,3.5,0.8,0.2,1.5,1.3,16.6
RJ Barrett,SG,20,NYK,35,35,33.4,6.3,14.4,.435,1.2,3.4,.345,5.1,11.0,.462,.475,2.8,3.8,.729,1.3,4.9,6.1,2.9,0.7,0.2,1.9,2.5,16.5
Will Barton,SF,30,DEN,30,26,29.5,4.3,10.1,.430,1.5,3.9,.385,2.8,6.2,.459,.505,1.1,1.5,.739,0.5,3.3,3.8,3.1,0.8,0.4,1.6,1.7,11.3
Keita Bates-Diop,SF,25,SAS,10,0,5.5,0.3,1.4,.214,0.1,0.6,.167,0.2,0.8,.250,.250,0.7,0.8,.875,0.3,0.4,0.7,0.4,0.5,0.0,0.0,0.4,1.4
Nicolas Batum,SF,32,LAC,33,33,29.4,3.1,6.5,.479,1.9,4.3,.448,1.2,2.1,.543,.629,0.8,1.0,.818,0.9,3.9,4.8,2.3,1.2,0.4,0.7,1.6,8.9
Aron Baynes,C,34,TOR,31,24,19.2,2.5,5.9,.424,0.5,2.1,.231,2.0,3.8,.529,.465,0.4,0.5,.688,1.5,3.8,5.4,1.0,0.3,0.4,0.9,2.5,5.9
Kent Bazemore,SF,31,GSW,33,0,16.5,2.4,4.8,.494,1.1,2.4,.450,1.3,2.4,.538,.608,0.7,0.9,.800,0.4,2.6,3.0,1.6,0.8,0.5,1.1,2.2,6.5
Darius Bazley,PF,20,OKC,34,34,30.8,4.5,11.2,.398,1.5,5.1,.295,3.0,6.1,.483,.465,1.5,2.0,.735,0.6,6.7,7.4,1.6,0.5,0.6,1.7,0.9,11.9
Bradley Beal,SG,27,WAS,30,30,35.7,11.7,24.1,.485,2.4,7.1,.338,9.3,17.0,.547,.535,7.4,8.3,.899,1.4,4.0,5.4,4.8,1.4,0.4,3.3,2.5,33.2
Malik Beasley,SG,24,MIN,33,32,33.1,7.6,16.7,.455,3.5,8.7,.406,4.1,8.0,.508,.560,1.8,2.2,.847,0.8,3.8,4.6,2.5,0.8,0.2,1.6,1.6,20.5
Jordan Bell,C,26,WAS,3,1,16.7,1.7,5.0,.333,0.0,0.7,.000,1.7,4.3,.385,.333,0.0,0.0,0,1.7,3.7,5.3,1.7,0.3,1.0,1.0,1.3,3.3
DeAndre' Bembry,SF,26,TOR,25,4,15.8,1.9,3.2,.595,0.3,0.8,.381,1.6,2.3,.672,.646,0.6,0.8,.700,0.4,1.6,2.0,1.8,0.6,0.3,0.9,1.5,4.6
Dāvis Bertāns,PF,28,WAS,28,3,26.0,3.4,8.8,.382,3.0,7.8,.384,0.4,1.0,.370,.553,1.9,2.2,.852,0.5,2.6,3.0,1.0,0.7,0.3,0.6,2.5,11.6
Patrick Beverley,PG,32,LAC,26,26,24.0,2.7,6.3,.433,1.7,4.2,.413,1.0,2.1,.473,.570,1.0,1.3,.788,1.0,2.8,3.8,2.2,0.9,0.7,0.9,3.2,8.2
Saddiq Bey,SF,21,DET,32,15,22.5,3.2,7.6,.414,2.2,5.3,.406,1.0,2.3,.432,.555,1.4,1.6,.846,0.6,3.4,4.0,1.0,0.6,0.0,0.7,1.6,9.8
Tyler Bey,SF,22,DAL,4,0,3.3,0.5,1.3,.400,0.0,0.0,0,0.5,1.3,.400,.400,0.5,1.0,.500,0.5,0.3,0.8,0.0,0.0,0.3,0.0,0.5,1.5
Khem Birch,C,28,ORL,33,1,20.5,2.2,4.5,.500,0.1,0.4,.250,2.2,4.1,.522,.510,1.5,2.1,.739,2.6,2.9,5.5,1.1,0.6,0.8,0.6,1.5,6.1
Goga Bitadze,C,21,IND,15,0,9.2,1.6,2.9,.558,0.1,0.9,.143,1.5,1.9,.759,.581,0.7,0.9,.769,0.7,1.4,2.1,0.2,0.2,1.0,0.3,1.7,4.0
Bismack Biyombo,C,28,CHO,31,17,21.9,2.3,4.2,.554,0.0,0.0,.000,2.3,4.2,.558,.554,0.9,1.8,.491,2.1,3.4,5.5,1.3,0.3,1.1,0.9,2.5,5.5
Nemanja Bjelica,PF,32,SAC,17,1,17.1,3.1,6.2,.495,0.7,2.4,.300,2.4,3.8,.615,.552,1.6,2.1,.771,0.8,3.1,3.9,2.1,0.2,0.1,1.1,1.7,8.4
Eric Bledsoe,SG,31,NOP,32,31,29.2,4.6,10.5,.440,2.1,5.3,.393,2.6,5.3,.488,.539,1.4,2.2,.648,0.5,3.0,3.5,3.6,0.8,0.3,1.7,1.5,12.8
Keljin Blevins,SF,25,POR,9,0,5.2,0.2,1.2,.182,0.0,0.4,.000,0.2,0.8,.286,.182,0.0,0.0,0,0.0,0.2,0.2,0.4,0.2,0.0,0.3,0.4,0.4
Bogdan Bogdanović,SG,28,ATL,9,2,23.7,3.3,8.7,.385,2.3,6.4,.362,1.0,2.2,.450,.519,0.9,1.0,.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2.0,9.9
Bojan Bogdanović,SF,31,UTA,34,34,30.4,5.0,11.7,.426,2.6,6.5,.394,2.4,5.2,.466,.535,2.6,3.1,.857,0.5,3.3,3.8,2.0,0.4,0.1,1.5,1.6,15.2
Bol Bol,PF,21,DEN,14,2,5.9,0.7,1.5,.476,0.3,0.6,.444,0.4,0.9,.500,.571,0.1,0.1,.500,0.0,0.8,0.8,0.2,0.1,0.4,0.6,0.6,1.8
Marques Bolden,C,22,CLE,6,0,4.8,0.2,0.5,.333,0.0,0.0,0,0.2,0.5,.333,.333,0.8,1.3,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2
Jordan Bone,PG,23,ORL,14,0,14.0,1.6,3.9,.426,0.7,2.3,.313,0.9,1.6,.591,.519,0.0,0.0,0,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0
Isaac Bonga,SF,21,WAS,21,7,12.4,0.8,2.1,.378,0.5,1.4,.345,0.3,0.8,.438,.489,0.1,0.2,.750,0.4,1.7,2.0,0.6,0.3,0.2,0.4,1.5,2.2
Devin Booker,SG,24,PHO,29,29,34.3,9.3,18.7,.501,2.1,5.7,.367,7.2,12.9,.560,.557,4.7,5.6,.840,0.2,3.4,3.6,4.3,0.8,0.3,3.4,3.1,25.5
Chris Boucher,C,28,TOR,34,2,23.3,4.6,8.7,.527,1.6,3.6,.447,3.0,5.1,.584,.620,2.2,2.9,.758,1.9,4.6,6.5,1.0,0.6,2.0,0.6,2.7,13.0
Brian Bowen,SF,22,IND,1,0,5.0,1.0,2.0,.500,0.0,0.0,0,1.0,2.0,.500,.500,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Avery Bradley,SG,30,MIA,10,1,21.1,3.1,6.6,.470,1.6,3.8,.421,1.5,2.8,.536,.591,0.7,0.9,.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5
Tony Bradley,C,23,PHI,11,1,11.0,1.8,3.4,.541,0.0,0.1,.000,1.8,3.3,.556,.541,0.3,0.5,.600,1.9,2.6,4.5,0.5,0.3,0.5,0.1,1.0,3.9
Jarrell Brantley,PF,24,UTA,10,0,2.8,0.4,1.0,.400,0.3,0.7,.429,0.1,0.3,.333,.550,0.0,0.0,0,0.2,0.5,0.7,0.0,0.1,0.1,0.1,0.4,1.1
Ignas Brazdeikis,SF,22,NYK,4,0,1.8,0.0,0.3,.000,0.0,0.0,0,0.0,0.3,.000,.000,0.5,0.5,1.000,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5
Mikal Bridges,SF,24,PHO,33,33,32.4,4.9,9.4,.524,1.9,4.5,.423,3.0,4.9,.617,.625,1.9,2.3,.829,1.3,3.8,5.0,2.2,0.7,1.0,0.7,1.6,13.7
Miles Bridges,PF,22,CHO,33,2,26.7,3.7,7.7,.484,1.4,3.5,.388,2.4,4.2,.565,.573,1.2,1.2,.927,1.3,4.4,5.7,2.0,0.7,0.7,1.7,2.3,10.0
Malcolm Brogdon,PG,28,IND,31,31,35.9,8.1,18.4,.440,2.5,6.6,.383,5.5,11.8,.471,.509,2.6,2.9,.910,0.8,4.0,4.8,6.4,1.2,0.3,2.1,1.9,21.4
Dillon Brooks,SF,25,MEM,27,27,28.9,6.0,15.0,.398,1.9,5.7,.329,4.1,9.3,.440,.460,1.7,2.1,.804,1.0,2.1,3.1,2.5,1.3,0.4,2.1,3.3,15.5
Bruce Brown,PG,24,BRK,31,18,20.5,3.3,5.7,.580,0.2,0.9,.214,3.1,4.8,.649,.597,1.1,1.5,.733,1.5,3.1,4.6,1.2,0.7,0.3,0.8,2.0,7.8
Jaylen Brown,SG,24,BOS,31,31,33.8,9.5,19.1,.496,2.3,6.0,.385,7.1,13.0,.547,.557,3.8,4.9,.781,1.1,4.4,5.5,4.0,1.1,0.5,2.9,2.9,25.0
Moses Brown,C,21,OKC,7,0,4.4,1.0,1.4,.700,0.0,0.0,0,1.0,1.4,.700,.700,1.0,2.0,.500,0.6,1.6,2.1,0.4,0.1,0.6,0.1,0.6,3.0
Sterling Brown,SG,25,HOU,30,1,21.7,2.7,6.1,.443,1.5,3.8,.400,1.2,2.3,.515,.568,0.4,0.4,.923,0.7,3.5,4.2,1.8,0.9,0.2,0.8,2.0,7.3
Troy Brown Jr.,SF,21,WAS,16,0,14.3,1.6,4.4,.366,0.7,2.4,.289,0.9,2.1,.455,.444,0.4,0.8,.583,0.5,2.7,3.2,0.8,0.1,0.1,0.8,1.6,4.4
Jalen Brunson,PG,24,DAL,28,6,24.5,4.5,8.5,.525,1.3,3.1,.414,3.2,5.4,.589,.601,2.1,2.5,.870,0.2,3.1,3.3,3.4,0.5,0.0,1.3,1.5,12.4
Thomas Bryant,C,23,WAS,10,10,27.1,5.9,9.1,.648,0.9,2.1,.429,5.0,7.0,.714,.698,1.6,2.4,.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
Reggie Bullock,SF,29,NYK,30,30,26.2,3.1,7.6,.412,1.7,4.6,.380,1.4,3.0,.462,.526,0.6,0.7,.857,0.3,3.2,3.5,1.3,0.6,0.2,0.7,2.3,8.6
Trey Burke,PG,28,DAL,31,0,16.3,2.7,6.2,.440,1.3,3.2,.398,1.5,3.0,.484,.542,0.8,0.9,.862,0.1,0.9,1.0,1.5,0.7,0.1,0.6,1.3,7.5
Alec Burks,SG,29,NYK,23,3,25.0,3.8,9.1,.416,2.0,4.8,.414,1.8,4.3,.418,.526,2.0,2.3,.833,0.5,3.9,4.4,2.0,0.7,0.2,1.1,1.9,11.5
Jimmy Butler,SF,31,MIA,21,21,33.1,6.3,14.3,.442,0.3,1.5,.219,6.0,12.8,.468,.453,7.1,8.3,.862,2.1,5.7,7.8,7.8,1.9,0.4,2.3,1.1,20.1
